"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu05171","Coronavirus disease",166,0.573547391710589,2.09693887869881,7.27086287199981e-09,2.17464898626176e-07,1.51679244602484e-07,1290,"tags=16%, list=12%, signal=14%","24088/21926/12981/12266/18035/56489/15945/17857/12362/19094/22031/15976/23961/17858/18033/234779/13649/18752/621697/19697/15200/72512/17874/18186/16476/29857","Positive NES",26,"STm vs NT"
"mmu04380","Osteoclast differentiation",82,0.661177330385486,2.22924919135035,1.7269188093707e-08,4.73463573569135e-07,3.30235351265626e-07,1085,"tags=33%, list=10%, signal=30%","16175/21926/12977/18035/18383/12703/21934/19698/21808/15979/19094/17060/15976/18034/18018/18033/234779/74256/18412/16477/14389/22030/13057/16177/14200/19697/15980","Positive NES",27,"STm vs NT"
"mmu05133","Pertussis",45,0.769066158753627,2.35299955368261,2.86131674820992e-08,7.24133238585435e-07,5.05074535311549e-07,418,"tags=22%, list=4%, signal=21%","16175/20311/18126/21926/12475/12266/16362/12362/19094/18033","Positive NES",10,"STm vs NT"
"mmu05417","Lipid and atherosclerosis",142,0.577410676701989,2.08949085986667,4.73448632602601e-08,1.11260428661611e-06,7.76028585769678e-07,1290,"tags=25%, list=12%, signal=22%","24088/14825/20310/22329/21926/22035/330122/12475/18035/56489/12362/19094/22031/18018/18033/16173/14102/11307/11783/16803/15894/17087/12122/20304/22030/12323/13057/13666/19697/17874/18986/20779/16476/215449/29857","Positive NES",35,"STm vs NT"
"mmu00100","Steroid biosynthesis",15,-0.867962044945999,-2.36160991445457,7.09694510408203e-08,1.55659662616199e-06,1.08570809311571e-06,653,"tags=73%, list=6%, signal=69%","235293/18194/13121/66234/13360/73166/16987/98386/14137/15490/20775","Negative NES",11,"STm vs NT"
"mmu04620","Toll-like receptor signaling pathway",68,0.681363044524331,2.2433787382299,1.36408264535156e-07,2.80489493950414e-06,1.95638168872789e-06,741,"tags=24%, list=7%, signal=22%","24088/20303/21926/26410/12475/18035/56489/15945/19094/22031/15976/27056/18033/16803/17087/20304","Positive NES",16,"STm vs NT"
"mmu05134","Legionellosis",46,0.730945604521309,2.24437193044593,2.2646893448039e-07,4.38283996729696e-06,3.05698004437926e-06,1148,"tags=37%, list=11%, signal=33%","24088/14825/20310/21926/330122/12475/12266/18035/12362/18034/18033/16173/11783/268973/19697/17874/11841","Positive NES",17,"STm vs NT"
"mmu04062","Chemokine signaling pathway",97,0.609495170264274,2.11277298478514,3.82422577645771e-07,6.98983489141437e-06,4.87532876764784e-06,1359,"tags=24%, list=13%, signal=21%","20311/20297/14825/20310/20303/330122/18035/20312/57349/15945/66102/18033/234779/20304/56484/20300/19697/18753/109689/20779/11515/215449/216869","Positive NES",23,"STm vs NT"
"mmu05321","Inflammatory bowel disease",24,0.829764485428076,2.23882908225829,4.54102924174587e-07,7.86315063439153e-06,5.48445636953241e-06,1254,"tags=58%, list=12%, signal=52%","24088/16175/257632/21926/21808/15979/18018/18033/16173/19697/16190/15980/17127/16476","Positive NES",14,"STm vs NT"
"mmu05142","Chagas disease",66,0.670894495643423,2.19506488929193,5.51259009452388e-07,9.06821070549179e-06,6.32497179266425e-06,1464,"tags=32%, list=14%, signal=28%","24088/18126/21926/12266/18035/21808/15979/19094/72930/18033/14102/20304/19697/15980/14676/12633/17874/16476/29857/106759/21812","Positive NES",21,"STm vs NT"
"mmu05164","Influenza A",112,0.582899991056939,2.05153746984708,8.76601682920449e-07,1.37334263657537e-05,9.57890560785253e-06,1137,"tags=24%, list=11%, signal=22%","16175/21926/22035/18035/56489/15945/17857/15979/12362/24014/22031/15976/23961/17858/18033/16173/58185/14102/11783/15894/12122/20304/270151/19697/54196/15980/17874","Positive NES",27,"STm vs NT"
"mmu05168","Herpes simplex virus 1 infection",129,0.559715141585293,2.00248733537645,1.30769759571478e-06,1.95560231359165e-05,1.36400993237236e-05,1231,"tags=22%, list=12%, signal=20%","24088/21926/12266/18035/56489/170741/545812/15979/24014/22031/15976/11796/23961/18033/213233/14102/22033/15015/11783/12122/20304/22030/19697/19294/15980/72512/17874/18986/20779","Positive NES",29,"STm vs NT"
"mmu00970","Aminoacyl-tRNA biosynthesis",44,-0.612756922988896,-2.26091992419501,3.98711573138159e-06,5.6588033369133e-05,3.94694969587938e-05,2469,"tags=59%, list=23%, signal=46%","68915/69955/15115/107508/104458/69606/107045/85305/110960/107271/216443/71941/384281/105148/66590/226414/71807/22375/102436/70120/244141/23874/224805/70560/229487/109093","Negative NES",26,"STm vs NT"
"mmu03030","DNA replication",35,-0.652056144168464,-2.25217447201843,4.12800243422247e-06,5.6588033369133e-05,3.94694969587938e-05,1759,"tags=51%, list=16%, signal=43%","66979/19718/17215/69724/19075/17217/17216/19076/17218/327762/18969/72151/17220/19891/68275/18974/18973/18972","Negative NES",18,"STm vs NT"
